"|","|__id","|__name","|__members","|__sp","|__buy_average","|__buy_quantity","|__sell_average","|__sell_quantity","|__overall_average","|__overall_quantity"
"2","2","Cannonball","True","5","148","138406","147","452945","147","591351"
"6","6","Cannon base","True","187500","192524","4","187527","3","190382","7"
"8","8","Cannon stand","True","187500","194999","4","187501","4","191250","8"
"10","10","Cannon barrels","True","187500","199061","4","187501","4","193281","8"
"12","12","Cannon furnace","True","187500","192004","5","187501","5","189752","10"
"28","28","Insect repellent","True","3","0","0","0","0","0","0"
"30","30","Bucket of wax","True","6","300","6","0","0","300","6"
"36","36","Candle","True","3","498","5","498","16","498","21"
"39","39","Bronze arrowtips","True","1","0","0","0","0","0","0"
"40","40","Iron arrowtips","True","2","0","0","0","0","0","0"
"41","41","Steel arrowtips","True","6","25","1000","28","75264","28","76264"
"42","42","Mithril arrowtips","True","16","0","0","0","0","0","0"
"43","43","Adamant arrowtips","True","40","0","0","105","199","105","199"
"44","44","Rune arrowtips","True","200","0","0","308","292","308","292"
"45","45","Opal bolt tips","True","7","0","0","5","20","5","20"
"46","46","Pearl bolt tips","True","12","0","0","0","0","0","0"
"47","47","Barb bolttips","True","95","0","0","0","0","0","0"
"48","48","Longbow (u)","True","60","0","0","0","0","0","0"
"50","50","Shortbow (u)","True","23","0","0","1","79","1","79"
"52","52","Arrow shaft","True","1","1","5000","1","2000","1","7000"
"53","53","Headless arrow","True","1","8","7000","7","12050","7","19050"
"54","54","Oak shortbow (u)","True","50","0","0","0","0","0","0"
"56","56","Oak longbow (u)","True","80","13","2000","0","0","13","2000"
"58","58","Willow longbow (u)","True","160","34","3000","0","0","34","3000"
"60","60","Willow shortbow (u)","True","100","0","0","0","0","0","0"
"62","62","Maple longbow (u)","True","320","60","3132","0","0","60","3132"
"64","64","Maple shortbow (u)","True","200","74","2002","74","3","74","2005"
"66","66","Yew longbow (u)","True","640","270","17128","258","14899","264","32027"
"68","68","Yew shortbow (u)","True","400","130","1170","0","0","130","1170"
"70","70","Magic longbow (u)","True","1280","981","13266","1001","15823","992","29089"
"72","72","Magic shortbow (u)","True","800","0","0","0","0","0","0"
"91","91","Guam potion (unf)","True","3","190","190","120","2","189","192"
"93","93","Marrentill potion (unf)","True","5","50","2","42","2","46","4"
"95","95","Tarromin potion (unf)","True","11","248","144","235","102","243","246"
"97","97","Harralander potion (unf)","True","20","1088","470","822","3","1086","473"
"99","99","Ranarr potion (unf)","True","25","8199","9406","8180","13969","8188","23375"
"101","101","Irit potion (unf)","True","40","1071","1172","982","1658","1019","2830"
"103","103","Avantoe potion (unf)","True","48","2240","3752","2200","2","2240","3754"
"105","105","Kwuarm potion (unf)","True","54","1359","1","1388","2143","1388","2144"
"107","107","Cadantine potion (unf)","True","65","1661","6896","1703","4505","1678","11401"
"109","109","Dwarf weed potion (unf)","True","70","0","0","0","0","0","0"
